종목코드,연도,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
900290,2018,0,2438945147.0,2021757490.0,379388393.0,11.25,1810341713.0,20.96,
900290,2019,0,3449742519.0,3017055313.0,465578739.0,41.44,2213778488.0,21.03,2.67
900290,2020,0,3674265906.0,3320426017.0,399371116.0,6.51,2020824529.0,19.76,2.16
900290,2021,0,4823416714.0,3707924015.0,330387573.0,31.28,2144140338.0,15.41,2.16
900290,2022,0,7337908651.0,3941849365.0,282239373.0,52.13,2310536095.0,12.22,3.35
900290,2023,0,8198529250.0,4252454162.0,414515313.0,11.73,4041639278.0,10.26,3.91
900300,2016,1,1192695367.0,1033722209.0,248901944.0,,920741551.0,27.03,
900300,2017,1,1445873238.0,1272990537.0,362591759.0,21.23,1180658714.0,30.71,
900300,2018,2,1673581021.0,1506761812.0,366672064.0,15.75,1442325933.0,25.42,2.6
900300,2019,0,1822622970.0,1668920314.0,272242809.0,8.91,1777226955.0,15.32,2.71
900300,2020,0,2079955549.0,1850569040.0,80995254.0,14.12,1768511438.0,4.58,6.58
900300,2021,0,2401629964.0,2151703119.0,95284178.0,15.47,1524539260.0,6.25,10.62
900300,2022,0,2340664138.0,1972305679.0,-333344351.0,-2.54,1177133763.0,-28.32,11.51
900300,2023,0,1881419385.0,1428561291.0,-402150318.0,-19.62,965440088.0,-41.65,20.22
900310,2017,2,733999941.0,666640243.0,164277213.0,,285004121.0,57.64,
900310,2018,0,863414615.0,811368720.0,167403498.0,17.63,289928056.0,57.74,
900310,2019,0,1010893621.0,954894606.0,163876371.0,17.08,301701166.0,54.32,0.07
900310,2020,0,1183385495.0,1084052454.0,174254754.0,17.06,431516478.0,40.38,1.95
900310,2021,0,1344818285.0,1220525559.0,165046038.0,13.64,317950372.0,51.91,8.25
900310,2022,0,1412862853.0,1342667092.0,57648894.0,5.06,202831683.0,28.42,7.15
900310,2023,1,1612735824.0,1372440617.0,30882220.0,14.15,252022195.0,12.25,12.05
900340,2018,1,676199899.0,516058943.0,167768968.0,,577977424.0,29.03,
900340,2019,1,761507005.0,604248570.0,112537059.0,12.62,661962917.0,17.0,
900340,2020,1,904075424.0,736956452.0,101234220.0,18.72,763419946.0,13.26,8.51
900340,2021,0,1053396072.0,841160595.0,124252595.0,16.52,864804396.0,14.37,8.24
900340,2022,0,1141514280.0,926488562.0,111308647.0,8.37,880081908.0,12.65,7.25
900340,2023,0,1289693639.0,1011386330.0,131788172.0,12.98,949326501.0,13.88,6.79
950110,2015,1,10185069000.0,3208157000.0,314266000.0,,6026301000.0,5.21,
950110,2016,1,10654215000.0,2924679000.0,481706000.0,4.61,7160816000.0,6.73,
950110,2017,1,12210257000.0,3093390000.0,546335000.0,14.6,8076636000.0,6.76,1.07
950110,2018,1,25029200000.0,2570349000.0,1143198000.0,104.99,13016802000.0,8.78,0.89
950110,2019,1,29796824000.0,3740469000.0,1400753000.0,19.05,7849624000.0,17.84,1.46
950110,2020,1,24204128000.0,4154792000.0,1228791000.0,-18.77,8700453000.0,14.12,5.07
950110,2021,1,36179158000.0,4470646000.0,1383796000.0,49.48,9265637000.0,14.93,4.94
950110,2022,1,43332327000.0,4811595000.0,377429000.0,19.77,5543570000.0,6.81,4.58
950110,2023,1,47799691000.0,4800016000.0,448356000.0,10.31,5401695000.0,8.3,4.56
950130,2015,0,69215893.0,65599258.0,5199.0,,31447579.0,0.02,
950130,2016,0,91224186.0,57642532.0,-601181.0,31.8,27993044.0,-2.15,
950130,2017,0,87153500.0,50485380.0,-6062605.0,-4.46,26055635.0,-23.27,1.53
950130,2018,0,84822492.0,38828892.0,-3982259.0,-2.67,36571123.0,-10.89,12.87
950130,2019,0,60226636.0,24097441.0,-6895892.0,-29.0,36939637.0,-18.67,10.57
950130,2020,0,156419338.0,79669849.0,58222516.0,159.72,103213745.0,56.41,10.11
950130,2021,0,372845999.0,244661762.0,227297588.0,138.36,441369161.0,51.5,32.38
950130,2022,1,698713619.0,494040669.0,363172714.0,87.4,800234602.0,45.38,39.48
